"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 1 Social Modifier","Interval Channel 2 Name","Interval Channel 2 Value"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:13:09","2018-03-01","15:13:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Hunter","1","","","","Inactive","Other"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:13:09","2018-03-01","15:13:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Minzi","1","","","","Inactive","Other"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:14:09","2018-03-01","15:14:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Hunter","2","","","","Inactive","Other"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:14:09","2018-03-01","15:14:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Minzi","2","","","","Inactive","Other"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:15:09","2018-03-01","15:15:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Hunter","3","","","","Inactive","Resting"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:15:09","2018-03-01","15:15:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Minzi","3","","","","Inactive","Other"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:16:09","2018-03-01","15:16:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Hunter","4","","","","Inactive","Other"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:16:09","2018-03-01","15:16:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Minzi","4","","","","Inactive","Other"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:17:09","2018-03-01","15:17:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Hunter","5","","","","Inactive","Other"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:17:09","2018-03-01","15:17:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Minzi","5","","","","Inactive","Other"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:18:09","2018-03-01","15:18:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Hunter","6","Active","Running","","",""
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:18:09","2018-03-01","15:18:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Minzi","6","Active","Running","","",""
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:19:09","2018-03-01","15:19:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Hunter","7","","","","Inactive","Other"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:19:09","2018-03-01","15:19:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Minzi","7","","","","Inactive","Other"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:20:09","2018-03-01","15:20:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Hunter","8","","","","Inactive","Other"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:20:09","2018-03-01","15:20:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Minzi","8","","","","Inactive","Resting"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:21:09","2018-03-01","15:21:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Hunter","9","","","","Inactive","Other"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:21:09","2018-03-01","15:21:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Minzi","9","","","","Inactive","Other"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:22:09","2018-03-01","15:22:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Hunter","10","","","","Inactive","Other"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:22:09","2018-03-01","15:22:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Minzi","10","","","","Inactive","Other"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:23:09","2018-03-01","15:23:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Hunter","11","","","","Inactive","Other"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:23:09","2018-03-01","15:23:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Minzi","11","","","","Inactive","Other"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:24:09","2018-03-01","15:24:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Hunter","12","","","","Inactive","Other"
"74","Dogs","Gina Gley","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-01 15:12:08","","2018-03-01 15:24:09","2018-03-01","15:24:09","2018","3","15","Hunter,Amara,Akilah,JT","15.00","","600x600","","Interval","Minzi","12","","","","Inactive","Other"
