"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","All Occurrence Value","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 2 Name","Interval Channel 2 Value","Interval Channel 3 Name","Interval Channel 3 Value","Interval Channel 3 Social Modifier","Interval Channel 4 Name","Interval Channel 4 Value","Interval Channel 4 Social Modifier","Interval Channel 5 Name","Interval Channel 5 Value","Interval Channel 5 Social Modifier","Interval Channel 6 Name","Interval Channel 6 Value","Interval Channel 7 Name","Interval Channel 7 Value","Interval Channel 8 Name","Interval Channel 8 Value","Interval Channel 9 Name","Interval Channel 9 Value","Interval Channel 10 Name","Interval Channel 10 Value"
"502","Camels","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-04 15:09:03","2019-03-04 15:24:03","2019-03-04 15:10:03","2019-03-04","15:10:03","2019","3","15","Cleo,Presley","15.00","","600x600","","Interval","Cleo","","1","Inactive","Ruminating","","","","","","","","","","","","","","","","","","","","",""
"502","Camels","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-04 15:09:03","2019-03-04 15:24:03","2019-03-04 15:10:03","2019-03-04","15:10:03","2019","3","15","Cleo,Presley","15.00","","600x600","","Interval","Presley","","1","","","","","","","","","","","","","","","","","","","","","","Other","Out of View"
"502","Camels","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-04 15:09:03","2019-03-04 15:24:03","2019-03-04 15:11:03","2019-03-04","15:11:03","2019","3","15","Cleo,Presley","15.00","","600x600","","Interval","Cleo","","2","Inactive","Ruminating","","","","","","","","","","","","","","","","","","","","",""
"502","Camels","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-04 15:09:03","2019-03-04 15:24:03","2019-03-04 15:11:03","2019-03-04","15:11:03","2019","3","15","Cleo,Presley","15.00","","600x600","","Interval","Presley","","2","","","","","","","","","","","","","","","","","","","","","","Other","Out of View"
"502","Camels","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-04 15:09:03","2019-03-04 15:24:03","2019-03-04 15:12:03","2019-03-04","15:12:03","2019","3","15","Cleo,Presley","15.00","","600x600","","Interval","Cleo","","3","Inactive","Ruminating","","","","","","","","","","","","","","","","","","","","",""
"502","Camels","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-04 15:09:03","2019-03-04 15:24:03","2019-03-04 15:12:03","2019-03-04","15:12:03","2019","3","15","Cleo,Presley","15.00","","600x600","","Interval","Presley","","3","","","","","","","","","","","","","","","","","","","","","","Other","Out of View"
"502","Camels","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-04 15:09:03","2019-03-04 15:24:03","2019-03-04 15:13:03","2019-03-04","15:13:03","2019","3","15","Cleo,Presley","15.00","","600x600","","Interval","Cleo","","4","Inactive","Ruminating","","","","","","","","","","","","","","","","","","","","",""
"502","Camels","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-04 15:09:03","2019-03-04 15:24:03","2019-03-04 15:13:03","2019-03-04","15:13:03","2019","3","15","Cleo,Presley","15.00","","600x600","","Interval","Presley","","4","","","","","","","","","","","","","","","","","","","","","","Other","Out of View"
"502","Camels","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-04 15:09:03","2019-03-04 15:24:03","2019-03-04 15:14:03","2019-03-04","15:14:03","2019","3","15","Cleo,Presley","15.00","","600x600","","Interval","Cleo","","5","Inactive","Ruminating","","","","","","","","","","","","","","","","","","","","",""
"502","Camels","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-04 15:09:03","2019-03-04 15:24:03","2019-03-04 15:14:03","2019-03-04","15:14:03","2019","3","15","Cleo,Presley","15.00","","600x600","","Interval","Presley","","5","Inactive","Ruminating","","","","","","","","","","","","","","","","","","","","",""
"502","Camels","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-04 15:09:03","2019-03-04 15:24:03","2019-03-04 15:15:03","2019-03-04","15:15:03","2019","3","15","Cleo,Presley","15.00","","600x600","","Interval","Cleo","","6","Inactive","Ruminating","","","","","","","","","","","","","","","","","","","","",""
"502","Camels","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-04 15:09:03","2019-03-04 15:24:03","2019-03-04 15:15:03","2019-03-04","15:15:03","2019","3","15","Cleo,Presley","15.00","","600x600","","Interval","Presley","","6","","","","","","","","","","","","","","","","Exploratory & Feeding","Consumption","","","","","",""
