"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","All Occurrence Value","All Occurrence Behavior Modifier 1","All Occurrence Behavior Modifier 2","All Occurrence Behavior Modifier 3","All Occurrence Behavior Social Modifier","All Occurrence Comment","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 2 Name","Interval Channel 2 Value","Interval Channel 3 Name","Interval Channel 3 Value","Interval Channel 3 Social Modifier","Interval Channel 4 Name","Interval Channel 4 Value","Interval Channel 5 Name","Interval Channel 5 Value","Interval Channel 5 Social Modifier","Interval Channel 6 Name","Interval Channel 6 Value","Interval Channel 7 Name","Interval Channel 7 Value","Interval Channel 8 Name","Interval Channel 8 Value","Interval Channel 9 Name","Interval Channel 9 Value","Interval Channel 10 Name","Interval Channel 10 Value"
"126","Maned Wolf","Amanda Kibbee","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-04-01 15:36:47","2018-04-01 15:51:47","2018-04-01 15:37:48","2018-04-01","15:37:48","2018","4","15","Cayenne,Arisco","15.00","","600x600","Upon ethogram, they were inside the shelter.I kicked them out of the shelter and gave them a few minutes to adjust before starting session.otherwise the entire ethogram would be them unseen in the shelter because unless we kick them out they are laying inside and we are unable to see what they are doing.","Interval","Arisco","","","","","","","1","","","","","","","","","","","","","","","","","","","","","Other","Other"
"126","Maned Wolf","Amanda Kibbee","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-04-01 15:36:47","2018-04-01 15:51:47","2018-04-01 15:38:48","2018-04-01","15:38:48","2018","4","15","Cayenne,Arisco","15.00","","600x600","Upon ethogram, they were inside the shelter.I kicked them out of the shelter and gave them a few minutes to adjust before starting session.otherwise the entire ethogram would be them unseen in the shelter because unless we kick them out they are laying inside and we are unable to see what they are doing.","Interval","Arisco","","","","","","","2","","","","","","","","","","","","","","","","","","","","","Other","Other"
"126","Maned Wolf","Amanda Kibbee","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-04-01 15:36:47","2018-04-01 15:51:47","2018-04-01 15:38:48","2018-04-01","15:38:48","2018","4","15","Cayenne,Arisco","15.00","","600x600","Upon ethogram, they were inside the shelter.I kicked them out of the shelter and gave them a few minutes to adjust before starting session.otherwise the entire ethogram would be them unseen in the shelter because unless we kick them out they are laying inside and we are unable to see what they are doing.","Interval","Cayenne","","","","","","","2","","","Locomotion","Walking","","","","","","","","","","","","","","","","","",""
"126","Maned Wolf","Amanda Kibbee","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-04-01 15:36:47","2018-04-01 15:51:47","2018-04-01 15:39:48","2018-04-01","15:39:48","2018","4","15","Cayenne,Arisco","15.00","","600x600","Upon ethogram, they were inside the shelter.I kicked them out of the shelter and gave them a few minutes to adjust before starting session.otherwise the entire ethogram would be them unseen in the shelter because unless we kick them out they are laying inside and we are unable to see what they are doing.","Interval","Arisco","","","","","","","3","","","","","","","","","","","","","","","","","","","","","Other","Other"
"126","Maned Wolf","Amanda Kibbee","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-04-01 15:36:47","2018-04-01 15:51:47","2018-04-01 15:39:48","2018-04-01","15:39:48","2018","4","15","Cayenne,Arisco","15.00","","600x600","Upon ethogram, they were inside the shelter.I kicked them out of the shelter and gave them a few minutes to adjust before starting session.otherwise the entire ethogram would be them unseen in the shelter because unless we kick them out they are laying inside and we are unable to see what they are doing.","Interval","Cayenne","","","","","","","3","","","","","","","","","","","","","","","","","","","","","Other","Other"
"126","Maned Wolf","Amanda Kibbee","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-04-01 15:36:47","2018-04-01 15:51:47","2018-04-01 15:40:48","2018-04-01","15:40:48","2018","4","15","Cayenne,Arisco","15.00","","600x600","Upon ethogram, they were inside the shelter.I kicked them out of the shelter and gave them a few minutes to adjust before starting session.otherwise the entire ethogram would be them unseen in the shelter because unless we kick them out they are laying inside and we are unable to see what they are doing.","Interval","Arisco","","","","","","","4","","","","","","","","","","","","","","","","","","","","","Other","Other"
"126","Maned Wolf","Amanda Kibbee","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-04-01 15:36:47","2018-04-01 15:51:47","2018-04-01 15:41:48","2018-04-01","15:41:48","2018","4","15","Cayenne,Arisco","15.00","","600x600","Upon ethogram, they were inside the shelter.I kicked them out of the shelter and gave them a few minutes to adjust before starting session.otherwise the entire ethogram would be them unseen in the shelter because unless we kick them out they are laying inside and we are unable to see what they are doing.","Interval","Arisco","","","","","","","5","","","","","","","","","","","","","","","","","","","","","Other","Other"
"126","Maned Wolf","Amanda Kibbee","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-04-01 15:36:47","2018-04-01 15:51:47","2018-04-01 15:42:48","2018-04-01","15:42:48","2018","4","15","Cayenne,Arisco","15.00","","600x600","Upon ethogram, they were inside the shelter.I kicked them out of the shelter and gave them a few minutes to adjust before starting session.otherwise the entire ethogram would be them unseen in the shelter because unless we kick them out they are laying inside and we are unable to see what they are doing.","Interval","Arisco","","","","","","","6","","","","","","","","","","","","","","","","","","","","","Other","Other"
"126","Maned Wolf","Amanda Kibbee","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-04-01 15:36:47","2018-04-01 15:51:47","2018-04-01 15:43:48","2018-04-01","15:43:48","2018","4","15","Cayenne,Arisco","15.00","","600x600","Upon ethogram, they were inside the shelter.I kicked them out of the shelter and gave them a few minutes to adjust before starting session.otherwise the entire ethogram would be them unseen in the shelter because unless we kick them out they are laying inside and we are unable to see what they are doing.","Interval","Arisco","","","","","","","7","","","","","","","","","","","","","","","","","","","","","Other","Other"
"126","Maned Wolf","Amanda Kibbee","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-04-01 15:36:47","2018-04-01 15:51:47","2018-04-01 15:44:48","2018-04-01","15:44:48","2018","4","15","Cayenne,Arisco","15.00","","600x600","Upon ethogram, they were inside the shelter.I kicked them out of the shelter and gave them a few minutes to adjust before starting session.otherwise the entire ethogram would be them unseen in the shelter because unless we kick them out they are laying inside and we are unable to see what they are doing.","Interval","Arisco","","","","","","","8","","","Locomotion","Walking","","","","","","","","","","","","","","","","","",""
