"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 2 Name","Interval Channel 2 Value","Interval Channel 3 Name","Interval Channel 3 Value","Interval Channel 3 Social Modifier","Interval Channel 4 Name","Interval Channel 4 Value","Interval Channel 5 Name","Interval Channel 5 Value","Interval Channel 6 Name","Interval Channel 6 Value","Interval Channel 7 Name","Interval Channel 7 Value","Interval Channel 8 Name","Interval Channel 8 Value","Interval Channel 9 Name","Interval Channel 9 Value","Interval Channel 10 Name","Interval Channel 10 Value"
"633","Guineafowl","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-04-27 13:54:54","2019-04-27 14:09:54","2019-04-27 13:55:54","2019-04-27","13:55:54","2019","4","13","Luke,Leia","15.00","","600x600","Brew event","Interval","Leia","1","Inactive","Alert","","","","","","","","","","","","","","","","","","",""
"633","Guineafowl","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-04-27 13:54:54","2019-04-27 14:09:54","2019-04-27 13:55:54","2019-04-27","13:55:54","2019","4","13","Luke,Leia","15.00","","600x600","Brew event","Interval","Luke","1","","","Locomotion","Walking","","","","","","","","","","","","","","","","",""
"633","Guineafowl","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-04-27 13:54:54","2019-04-27 14:09:54","2019-04-27 13:56:54","2019-04-27","13:56:54","2019","4","13","Luke,Leia","15.00","","600x600","Brew event","Interval","Leia","2","","","","","Social","Vocalization","","","","","","","","","","","","","","",""
"633","Guineafowl","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-04-27 13:54:54","2019-04-27 14:09:54","2019-04-27 13:56:54","2019-04-27","13:56:54","2019","4","13","Luke,Leia","15.00","","600x600","Brew event","Interval","Luke","2","","","","","","","","","","","","","","","","Enrichment-based","Interaction","","","",""
"633","Guineafowl","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-04-27 13:54:54","2019-04-27 14:09:54","2019-04-27 13:57:54","2019-04-27","13:57:54","2019","4","13","Luke,Leia","15.00","","600x600","Brew event","Interval","Leia","3","","","Locomotion","Walking","","","","","","","","","","","","","","","","",""
"633","Guineafowl","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-04-27 13:54:54","2019-04-27 14:09:54","2019-04-27 13:57:54","2019-04-27","13:57:54","2019","4","13","Luke,Leia","15.00","","600x600","Brew event","Interval","Luke","3","","","","","","","","","","","","Exploratory & Feeding","Foraging","","","","","","","",""
"633","Guineafowl","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-04-27 13:54:54","2019-04-27 14:09:54","2019-04-27 13:58:54","2019-04-27","13:58:54","2019","4","13","Luke,Leia","15.00","","600x600","Brew event","Interval","Leia","4","","","","","Social","Vocalization","","","","","","","","","","","","","","",""
"633","Guineafowl","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-04-27 13:54:54","2019-04-27 14:09:54","2019-04-27 13:58:54","2019-04-27","13:58:54","2019","4","13","Luke,Leia","15.00","","600x600","Brew event","Interval","Luke","4","","","","","","","","","","","","","","","","Enrichment-based","Interaction","","","",""
"633","Guineafowl","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-04-27 13:54:54","2019-04-27 14:09:54","2019-04-27 13:59:54","2019-04-27","13:59:54","2019","4","13","Luke,Leia","15.00","","600x600","Brew event","Interval","Leia","5","","","","","Social","Vocalization","","","","","","","","","","","","","","",""
"633","Guineafowl","Meiyer Torrisi","664aada0-4976-408a-a13f-3f2629c3b099","2019-04-27 13:54:54","2019-04-27 14:09:54","2019-04-27 13:59:54","2019-04-27","13:59:54","2019","4","13","Luke,Leia","15.00","","600x600","Brew event","Interval","Luke","5","Inactive","Alert","","","","","","","","","","","","","","","","","","",""
