"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 2 Name","Interval Channel 2 Value","Interval Channel 3 Name","Interval Channel 3 Value","Interval Channel 3 Social Modifier","Interval Channel 4 Name","Interval Channel 4 Value","Interval Channel 4 Social Modifier","Interval Channel 5 Name","Interval Channel 5 Value","Interval Channel 6 Name","Interval Channel 6 Value","Interval Channel 7 Name","Interval Channel 7 Value","Interval Channel 8 Name","Interval Channel 8 Value","Interval Channel 9 Name","Interval Channel 9 Value","Interval Channel 10 Name","Interval Channel 10 Value"
"571","Llama/Alpaca","Brittany Merlo","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-03-31 11:50:09","2019-03-31 12:05:09","2019-03-31 11:51:09","2019-03-31","11:51:09","2019","3","11","Rembrandt,Oakley,Pumpkin,Kuzko,Alex","15.00","","600x600","","Interval","Alex","1","","","","","","","","","","","","","Exploratory & Feeding","Consumption","","","","","","","",""
"571","Llama/Alpaca","Brittany Merlo","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-03-31 11:50:09","2019-03-31 12:05:09","2019-03-31 11:51:09","2019-03-31","11:51:09","2019","3","11","Rembrandt,Oakley,Pumpkin,Kuzko,Alex","15.00","","600x600","","Interval","Kuzko","1","Inactive","Alert","","","","","","","","","","","","","","","","","","","",""
"571","Llama/Alpaca","Brittany Merlo","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-03-31 11:50:09","2019-03-31 12:05:09","2019-03-31 11:51:09","2019-03-31","11:51:09","2019","3","11","Rembrandt,Oakley,Pumpkin,Kuzko,Alex","15.00","","600x600","","Interval","Oakley","1","","","","","","","","","","","","","Exploratory & Feeding","Consumption","","","","","","","",""
"571","Llama/Alpaca","Brittany Merlo","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-03-31 11:50:09","2019-03-31 12:05:09","2019-03-31 11:51:09","2019-03-31","11:51:09","2019","3","11","Rembrandt,Oakley,Pumpkin,Kuzko,Alex","15.00","","600x600","","Interval","Pumpkin","1","","","","","","","","","","","Maintenance","Grooming","","","","","","","","","",""
"571","Llama/Alpaca","Brittany Merlo","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-03-31 11:50:09","2019-03-31 12:05:09","2019-03-31 11:51:09","2019-03-31","11:51:09","2019","3","11","Rembrandt,Oakley,Pumpkin,Kuzko,Alex","15.00","","600x600","","Interval","Rembrandt","1","Inactive","Alert","","","","","","","","","","","","","","","","","","","",""
"571","Llama/Alpaca","Brittany Merlo","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-03-31 11:50:09","2019-03-31 12:05:09","2019-03-31 11:52:09","2019-03-31","11:52:09","2019","3","11","Rembrandt,Oakley,Pumpkin,Kuzko,Alex","15.00","","600x600","","Interval","Alex","2","","","","","","","","","","","","","Exploratory & Feeding","Consumption","","","","","","","",""
"571","Llama/Alpaca","Brittany Merlo","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-03-31 11:50:09","2019-03-31 12:05:09","2019-03-31 11:52:09","2019-03-31","11:52:09","2019","3","11","Rembrandt,Oakley,Pumpkin,Kuzko,Alex","15.00","","600x600","","Interval","Kuzko","2","","","","","","","","","","","","","Exploratory & Feeding","Consumption","","","","","","","",""
"571","Llama/Alpaca","Brittany Merlo","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-03-31 11:50:09","2019-03-31 12:05:09","2019-03-31 11:52:09","2019-03-31","11:52:09","2019","3","11","Rembrandt,Oakley,Pumpkin,Kuzko,Alex","15.00","","600x600","","Interval","Oakley","2","","","","","","","","","","","","","Exploratory & Feeding","Consumption","","","","","","","",""
"571","Llama/Alpaca","Brittany Merlo","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-03-31 11:50:09","2019-03-31 12:05:09","2019-03-31 11:52:09","2019-03-31","11:52:09","2019","3","11","Rembrandt,Oakley,Pumpkin,Kuzko,Alex","15.00","","600x600","","Interval","Pumpkin","2","","","","","","","","","","","","","Exploratory & Feeding","Consumption","","","","","","","",""
"571","Llama/Alpaca","Brittany Merlo","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-03-31 11:50:09","2019-03-31 12:05:09","2019-03-31 11:52:09","2019-03-31","11:52:09","2019","3","11","Rembrandt,Oakley,Pumpkin,Kuzko,Alex","15.00","","600x600","","Interval","Rembrandt","2","","","","","","","","","","","","","Exploratory & Feeding","Consumption","","","","","","","",""
