"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 2 Name","Interval Channel 2 Value","Interval Channel 3 Name","Interval Channel 3 Value","Interval Channel 4 Name","Interval Channel 4 Value"
"761","Turaco","Arlisa Homan","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-26 14:48:49","2019-05-26 15:03:49","2019-05-26 14:49:49","2019-05-26","14:49:49","2019","5","14","Russell","15.00","","600x600","","Interval","Russell","1","","","","","","","Inactive","Resting"
"761","Turaco","Arlisa Homan","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-26 14:48:49","2019-05-26 15:03:49","2019-05-26 14:50:49","2019-05-26","14:50:49","2019","5","14","Russell","15.00","","600x600","","Interval","Russell","2","","","","","","","Inactive","Resting"
"761","Turaco","Arlisa Homan","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-26 14:48:49","2019-05-26 15:03:49","2019-05-26 14:51:49","2019-05-26","14:51:49","2019","5","14","Russell","15.00","","600x600","","Interval","Russell","3","","","","","","","Inactive","Resting"
"761","Turaco","Arlisa Homan","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-26 14:48:49","2019-05-26 15:03:49","2019-05-26 14:52:49","2019-05-26","14:52:49","2019","5","14","Russell","15.00","","600x600","","Interval","Russell","4","","","","","","","Inactive","Resting"
"761","Turaco","Arlisa Homan","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-26 14:48:49","2019-05-26 15:03:49","2019-05-26 14:53:49","2019-05-26","14:53:49","2019","5","14","Russell","15.00","","600x600","","Interval","Russell","5","","","","","","","Inactive","Resting"
"761","Turaco","Arlisa Homan","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-26 14:48:49","2019-05-26 15:03:49","2019-05-26 14:54:49","2019-05-26","14:54:49","2019","5","14","Russell","15.00","","600x600","","Interval","Russell","6","","","","","","","Inactive","Resting"
"761","Turaco","Arlisa Homan","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-26 14:48:49","2019-05-26 15:03:49","2019-05-26 14:55:49","2019-05-26","14:55:49","2019","5","14","Russell","15.00","","600x600","","Interval","Russell","7","","","","","","","Inactive","Resting"
"761","Turaco","Arlisa Homan","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-26 14:48:49","2019-05-26 15:03:49","2019-05-26 14:56:49","2019-05-26","14:56:49","2019","5","14","Russell","15.00","","600x600","","Interval","Russell","8","","","","","","","Inactive","Resting"
"761","Turaco","Arlisa Homan","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-26 14:48:49","2019-05-26 15:03:49","2019-05-26 14:57:49","2019-05-26","14:57:49","2019","5","14","Russell","15.00","","600x600","","Interval","Russell","9","","","","","","","Inactive","Resting"
"761","Turaco","Arlisa Homan","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-26 14:48:49","2019-05-26 15:03:49","2019-05-26 14:58:49","2019-05-26","14:58:49","2019","5","14","Russell","15.00","","600x600","","Interval","Russell","10","","","","","","","Inactive","Resting"
"761","Turaco","Arlisa Homan","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-26 14:48:49","2019-05-26 15:03:49","2019-05-26 14:59:49","2019-05-26","14:59:49","2019","5","14","Russell","15.00","","600x600","","Interval","Russell","11","","","","","","","Inactive","Resting"
"761","Turaco","Arlisa Homan","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-26 14:48:49","2019-05-26 15:03:49","2019-05-26 15:00:49","2019-05-26","15:00:49","2019","5","15","Russell","15.00","","600x600","","Interval","Russell","12","","","","","","","Inactive","Resting"
"761","Turaco","Arlisa Homan","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-26 14:48:49","2019-05-26 15:03:49","2019-05-26 15:01:49","2019-05-26","15:01:49","2019","5","15","Russell","15.00","","600x600","","Interval","Russell","13","","","","","","","Inactive","Resting"
"761","Turaco","Arlisa Homan","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-26 14:48:49","2019-05-26 15:03:49","2019-05-26 15:02:49","2019-05-26","15:02:49","2019","5","15","Russell","15.00","","600x600","","Interval","Russell","14","","","","","","","Inactive","Resting"
"761","Turaco","Arlisa Homan","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-26 14:48:49","2019-05-26 15:03:49","","","","","","","Russell","15.00","","600x600","","Interval","Russell","15","","","","","","","",""
"1049","Turaco","Beckie Hodgson","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-28 15:18:11","2019-05-28 15:33:11","2019-05-28 15:19:11","2019-05-28","15:19:11","2019","5","15","Russell","15.00","","600x600","","Interval","Russell","1","","","Negative","Open mouth breathing","","","Inactive","Resting"
"1049","Turaco","Beckie Hodgson","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-28 15:18:11","2019-05-28 15:33:11","2019-05-28 15:20:11","2019-05-28","15:20:11","2019","5","15","Russell","15.00","","600x600","","Interval","Russell","2","","","","","","","Inactive","Resting"
"1049","Turaco","Beckie Hodgson","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-28 15:18:11","2019-05-28 15:33:11","2019-05-28 15:21:11","2019-05-28","15:21:11","2019","5","15","Russell","15.00","","600x600","","Interval","Russell","3","","","Negative","Open mouth breathing","","","Inactive","Resting"
"1049","Turaco","Beckie Hodgson","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-28 15:18:11","2019-05-28 15:33:11","2019-05-28 15:22:11","2019-05-28","15:22:11","2019","5","15","Russell","15.00","","600x600","","Interval","Russell","4","","","","","","","Inactive","Resting"
"1049","Turaco","Beckie Hodgson","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-28 15:18:11","2019-05-28 15:33:11","2019-05-28 15:23:11","2019-05-28","15:23:11","2019","5","15","Russell","15.00","","600x600","","Interval","Russell","5","","","Negative","Open mouth breathing","","","Inactive","Resting"
"1049","Turaco","Beckie Hodgson","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-28 15:18:11","2019-05-28 15:33:11","2019-05-28 15:24:11","2019-05-28","15:24:11","2019","5","15","Russell","15.00","","600x600","","Interval","Russell","6","","","Negative","Open mouth breathing","","","Inactive","Resting"
"1049","Turaco","Beckie Hodgson","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-28 15:18:11","2019-05-28 15:33:11","2019-05-28 15:25:11","2019-05-28","15:25:11","2019","5","15","Russell","15.00","","600x600","","Interval","Russell","7","","","Negative","Open mouth breathing","","","Inactive","Sleeping"
"1049","Turaco","Beckie Hodgson","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-28 15:18:11","2019-05-28 15:33:11","2019-05-28 15:26:11","2019-05-28","15:26:11","2019","5","15","Russell","15.00","","600x600","","Interval","Russell","8","","","Negative","Open mouth breathing","","","Inactive","Sleeping"
"1049","Turaco","Beckie Hodgson","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-28 15:18:11","2019-05-28 15:33:11","2019-05-28 15:27:11","2019-05-28","15:27:11","2019","5","15","Russell","15.00","","600x600","","Interval","Russell","9","","","","","","","Inactive","Sleeping"
"1049","Turaco","Beckie Hodgson","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-28 15:18:11","2019-05-28 15:33:11","2019-05-28 15:28:11","2019-05-28","15:28:11","2019","5","15","Russell","15.00","","600x600","","Interval","Russell","10","","","Negative","Open mouth breathing","","","Inactive","Sleeping"
"1049","Turaco","Beckie Hodgson","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-05-28 15:18:11","2019-05-28 15:33:11","2019-05-28 15:29:11","2019-05-28","15:29:11","2019","5","15","Russell","15.00","","600x600","","Interval","Russell","11","","","Negative","Open mouth breathing","","","Inactive","Sleeping"
