"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 1 Social Modifier","Interval Channel 2 Name","Interval Channel 2 Value","Interval Channel 3 Name","Interval Channel 3 Value"
254,"Animal","Strike","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-09-24 14:50:45","2018-09-24 15:05:45","2018-09-24 14:51:46","2018-09-24","14:51:46",2018,9,14,"Mini,Bucky,Remy,Fluff,Wilmer,Amor,Dolly,Kale,Azure,Argentina,Tofu,Remington,Cherry",15,NA,"600x600",NA,"Interval","Mini",1,"","","","","","Inactive","Out of sight"
254,"Animal","Strike","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-09-24 14:50:45","2018-09-24 15:05:45","2018-09-24 14:51:46","2018-09-24","14:51:46",2018,9,14,"Mini,Bucky,Remy,Fluff,Wilmer,Amor,Dolly,Kale,Azure,Argentina,Tofu,Remington,Cherry",15,NA,"600x600",NA,"Interval","Remington",1,"","","","","","Inactive","Out of sight"
254,"Animal","Strike","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-09-24 14:50:45","2018-09-24 15:05:45","2018-09-24 14:51:46","2018-09-24","14:51:46",2018,9,14,"Mini,Bucky,Remy,Fluff,Wilmer,Amor,Dolly,Kale,Azure,Argentina,Tofu,Remington,Cherry",15,NA,"600x600",NA,"Interval","Argentina",1,"","","","Active","Swimming","",""
254,"Animal","Strike","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-09-24 14:50:45","2018-09-24 15:05:45","2018-09-24 14:51:46","2018-09-24","14:51:46",2018,9,14,"Mini,Bucky,Remy,Fluff,Wilmer,Amor,Dolly,Kale,Azure,Argentina,Tofu,Remington,Cherry",15,NA,"600x600",NA,"Interval","Fluff",1,"","","","","","Inactive","Resting/sleeping"
254,"Animal","Strike","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-09-24 14:50:45","2018-09-24 15:05:45","2018-09-24 14:51:46","2018-09-24","14:51:46",2018,9,14,"Mini,Bucky,Remy,Fluff,Wilmer,Amor,Dolly,Kale,Azure,Argentina,Tofu,Remington,Cherry",15,NA,"600x600",NA,"Interval","Azure",1,"","","","","","Inactive","Resting/sleeping"
254,"Animal","Strike","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-09-24 14:50:45","2018-09-24 15:05:45","2018-09-24 14:51:46","2018-09-24","14:51:46",2018,9,14,"Mini,Bucky,Remy,Fluff,Wilmer,Amor,Dolly,Kale,Azure,Argentina,Tofu,Remington,Cherry",15,NA,"600x600",NA,"Interval","Dolly",1,"","","","","","Inactive","Resting/sleeping"
254,"Animal","Strike","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-09-24 14:50:45","2018-09-24 15:05:45","2018-09-24 14:51:46","2018-09-24","14:51:46",2018,9,14,"Mini,Bucky,Remy,Fluff,Wilmer,Amor,Dolly,Kale,Azure,Argentina,Tofu,Remington,Cherry",15,NA,"600x600",NA,"Interval","Kale",1,"","","","","","Inactive","Resting/sleeping"
254,"Animal","Strike","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-09-24 14:50:45","2018-09-24 15:05:45","2018-09-24 14:51:46","2018-09-24","14:51:46",2018,9,14,"Mini,Bucky,Remy,Fluff,Wilmer,Amor,Dolly,Kale,Azure,Argentina,Tofu,Remington,Cherry",15,NA,"600x600",NA,"Interval","Wilmer",1,"","","","","","Inactive","Resting/sleeping"
254,"Animal","Strike","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-09-24 14:50:45","2018-09-24 15:05:45","2018-09-24 14:51:46","2018-09-24","14:51:46",2018,9,14,"Mini,Bucky,Remy,Fluff,Wilmer,Amor,Dolly,Kale,Azure,Argentina,Tofu,Remington,Cherry",15,NA,"600x600",NA,"Interval","Bucky",1,"","","","","","Inactive","Out of sight"
254,"Animal","Strike","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-09-24 14:50:45","2018-09-24 15:05:45","2018-09-24 14:51:46","2018-09-24","14:51:46",2018,9,14,"Mini,Bucky,Remy,Fluff,Wilmer,Amor,Dolly,Kale,Azure,Argentina,Tofu,Remington,Cherry",15,NA,"600x600",NA,"Interval","Tofu",1,"","","","","","Inactive","Resting/sleeping"
254,"Animal","Strike","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-09-24 14:50:45","2018-09-24 15:05:45","2018-09-24 14:51:46","2018-09-24","14:51:46",2018,9,14,"Mini,Bucky,Remy,Fluff,Wilmer,Amor,Dolly,Kale,Azure,Argentina,Tofu,Remington,Cherry",15,NA,"600x600",NA,"Interval","Amor",1,"","","","","","Inactive","Resting/sleeping"
254,"Animal","Strike","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-09-24 14:50:45","2018-09-24 15:05:45","2018-09-24 14:52:46","2018-09-24","14:52:46",2018,9,14,"Mini,Bucky,Remy,Fluff,Wilmer,Amor,Dolly,Kale,Azure,Argentina,Tofu,Remington,Cherry",15,NA,"600x600",NA,"Interval","Mini",2,"","","","","","Inactive","Out of sight"
254,"Animal","Strike","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-09-24 14:50:45","2018-09-24 15:05:45","2018-09-24 14:52:46","2018-09-24","14:52:46",2018,9,14,"Mini,Bucky,Remy,Fluff,Wilmer,Amor,Dolly,Kale,Azure,Argentina,Tofu,Remington,Cherry",15,NA,"600x600",NA,"Interval","Remington",2,"","","","","","Inactive","Out of sight"
