STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS,WT01,WT02,WT03,WT05,WT06,WT07,WT08,WT09,WT11
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/1/18,38,63,18,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/2/18,44,72,20,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/3/18,51,75,25,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/4/18,58,71,33,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/5/18,43,52,19,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/6/18,35,53,13,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/7/18,33,56,11,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/8/18,41,69,20,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/9/18,47,71,26,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/10/18,50,65,28,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/11/18,38,54,17,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/12/18,37,63,16,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/13/18,44,57,25,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/14/18,49,72,30,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/15/18,53,75,29,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/16/18,54,66,36,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/17/18,46,69,24,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/18/18,51,68,26,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/19/18,45,54,32,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/20/18,40,61,20,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/21/18,42,68,19,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/22/18,52,78,29,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/23/18,65,77,41,,,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/24/18,54,72,31,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/25/18,56,75,30,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/26/18,49,62,33,,1,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/27/18,44,52,31,,1,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/28/18,43,61,25,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/29/18,42,61,23,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/30/18,44,72,25,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",3/31/18,55,65,33,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/1/18,38,48,27,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/2/18,45,83,21,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/3/18,52,62,29,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/4/18,44,76,20,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/5/18,54,74,29,,,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/6/18,48,52,23,,1,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/7/18,30,56,22,,1,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/8/18,53,74,39,,1,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/9/18,51,60,37,,1,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/10/18,49,74,28,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/11/18,60,88,36,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/12/18,63,83,41,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/13/18,54,54,36,,,,,1,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/14/18,44,62,29,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/15/18,45,67,24,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/16/18,54,82,30,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/17/18,63,78,41,,,,,,,1,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/18/18,49,62,31,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/19/18,48,74,28,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/20/18,58,65,40,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/21/18,44,49,40,,1,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/22/18,48,67,34,,1,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/23/18,53,76,36,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/24/18,50,50,36,,1,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/25/18,44,67,33,,1,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/26/18,53,65,34,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/27/18,52,78,28,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/28/18,61,82,40,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/29/18,69,86,47,,,,,,,,,,
